video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations,caption sc,caption lc,C3D sc,Asthetic Median sc,Asthetic Median lc,C3D lc
7494,0.8392568674049475,33,0.7746200240542817,12,0.8257037348098948,0.7711708010992426,0.8535900000000004,0.8520300000000002,0.780070401297329,0.7760680927213124
7495,0.864085089077528,34,0.7912940450138999,10,0.8726351781550558,0.8022364001250007,0.8464700000000001,0.8646000000000003,0.789051950183216,0.7716514296223821
7496,0.853509732251324,32,0.7808751632888973,13,0.8600582145026482,0.7601615553760964,0.8296599999999996,0.8642625000000002,0.8218223181825997,0.7813552242207965
7497,0.8561304741222805,33,0.7730129048444604,10,0.8659359482445612,0.7590060740391663,0.8203400000000001,0.8723099999999993,0.801547114621382,0.7724923566781271
7498,0.8460782450854839,33,0.7697806511529001,10,0.8465964901709675,0.7360092879490727,0.8170100000000005,0.8741100000000003,0.827639742832904,0.7794642858805507
7499,0.8563374060754043,33,0.7697960171192602,13,0.8463510621508084,0.7671404163078042,0.8415099999999999,0.8911375000000007,0.7793158432441329,0.7655873926172995
7500,0.8487495727787799,33,0.7819609980053285,10,0.8299316455575602,0.768775603697149,0.8460100000000003,0.889124999999999,0.8091633323054331,0.7811294523215824
7502,0.8525028472236758,43,0.7659058916272368,15,0.8580995694473516,0.7657213282223457,0.8383299999999998,0.85548225,0.752879969424137,0.7793009406401186
7503,0.8526822892630564,33,0.7769661505081645,11,0.8524317168045016,0.7806142211948374,0.8381857234432231,0.8676799999999996,0.7648086163730485,0.7818275432699346
7504,0.8731207325029356,33,0.7806075047981149,15,0.8679314650058708,0.7765159857224889,0.89539,0.8612300000000007,0.7622534605237218,0.8071445872237599
7505,0.8593865153335922,38,0.7922034753412059,10,0.8471655306671849,0.7687569311236584,0.88492,0.8582949999999989,0.83830947292197,0.7929905661955369
7506,0.85592050289634,34,0.7848767566877684,10,0.8642660057926802,0.7845080725399967,0.8229599999999999,0.8721899999999998,0.7886967244134517,0.7817941572576285
7507,0.8586635108460751,34,0.7593154573319586,12,0.8298791645492926,0.7389988901236737,0.9070557142857141,0.8678400000000012,0.7513356096314362,0.807928439449051
7508,0.8652152214434689,33,0.7705795622314913,14,0.8548654428869377,0.7529889185421741,0.8814799999999998,0.8696500000000004,0.7933445444190179,0.7829958674225987
7510,0.845438201137199,33,0.7779224194524563,11,0.8307251522743981,0.7874291045025096,0.87611,0.8441924999999998,0.7546961982973636,0.7821352705074426
